NGVS_catalog_id,band,time,exposure,frame,image_index,zeropoint,mag,err_sys,time_mjd
819949,u,2013-05-029:39,582.114,1624496,49,32.096,20.09526671,0.005690053,56414.40208
819949,u,2013-05-036:21,582.101,1624647,50,32.077,20.4029711,0.006691156,56415.26458
819949,u,2013-05-037:35,582.106,1624654,51,32.109,20.40691038,0.006926959,56415.31597
819949,u,2013-05-038:49,582.116,1624661,52,32.092,19.74781639,0.004933022,56415.36736
819949,u,2013-05-0310:03,582.122,1624668,53,32.034,19.44896433,0.004286476,56415.41875
767468,g,2010-03-1512:43,634.155,1172836,0,33.494,19.74703628,0.002782273,55270.52986
767468,g,2010-03-1514:16,634.135,1172844,1,33.461,19.83241237,0.003246447,55270.59444
767468,g,2010-03-198:44,634.146,1173552,2,33.464,19.53552898,0.002406988,55274.36389
767468,g,2010-03-2012:22,634.149,1173769,3,33.457,19.6261946,0.00253195,55275.51528
767468,g,2010-03-2211:09,634.147,1174013,4,33.48,19.9250674,0.002734544,55277.46458
767468,g,2010-03-2213:16,634.128,1174023,5,33.478,18.84579943,0.001537589,55277.55278
767468,g,2010-03-2214:40,634.1,1174030,6,33.09,19.13041866,0.002553816,55277.61111
767468,g,2010-04-076:14,634.127,1183057,7,33.438,19.01929582,0.001873054,55293.25972
767468,g,2010-04-087:49,634.172,1183255,8,33.476,18.97106389,0.001829658,55294.32569
767468,g,2010-04-116:42,634.143,1183549,9,33.47,19.42945306,0.002290318,55297.27917
767468,g,2010-04-118:03,634.159,1183556,10,33.509,19.60475263,0.002719122,55297.33542
767468,g,2010-04-119:57,634.152,1183566,11,33.507,19.78612107,0.002865168,55297.41458
767468,g,2010-04-1111:20,634.161,1183573,12,33.484,19.81363889,0.004300358,55297.47222
767468,g,2010-04-126:55,634.142,1183647,13,33.452,18.96475692,0.001722119,55298.28819
767468,i,2010-05-0910:49,411.099,1195601,14,32.349,19.45593445,0.004805192,55325.45069
767468,i,2010-05-107:47,411.119,1195702,15,32.393,19.16637901,0.003754137,55326.32431
767468,i,2010-05-109:55,411.114,1195714,16,32.357,19.29582624,0.00382819,55326.41319
767468,i,2010-05-147:02,411.107,1196331,17,32.373,19.24705889,0.003576446,55330.29306
767468,i,2010-05-147:57,411.126,1196338,18,32.373,19.30114483,0.003768378,55330.33125
767468,i,2010-05-148:58,411.114,1196345,19,32.379,19.37490841,0.004130028,55330.37361
767468,z,2011-01-2711:36,550.101,1276067,30,31.692,19.45998156,0.007880527,55588.48333
767468,z,2011-01-2712:47,550.165,1276074,31,31.697,19.47416714,0.007003242,55588.53264
767468,z,2011-01-2713:58,550.156,1276081,32,31.693,19.54960324,0.006911771,55588.58194
767468,z,2011-01-2715:09,550.16,1276088,33,31.706,19.5596799,0.008604129,55588.63125
767468,z,2011-01-2815:18,550.149,1276449,34,31.692,19.49313341,0.007385942,55589.6375
767468,z,2011-02-0213:01,550.161,1277341,35,31.705,19.40716539,0.008850819,55594.54236
767468,z,2011-02-0911:11,550.151,1278346,36,31.667,19.62773842,0.009953513,55601.46597
767468,z,2011-02-0912:23,550.156,1278353,37,31.687,19.33649985,0.008477038,55601.51597
767468,z,2011-02-0913:36,550.155,1278360,38,31.663,19.07553532,0.006065331,55601.56667
767468,u,2013-04-097:19,582.11,1616673,39,32.044,20.26826118,0.00642814,56391.30486
767468,u,2013-04-098:33,582.127,1616680,40,32.107,20.45798125,0.006704692,56391.35625
767468,u,2013-04-108:13,582.144,1616886,41,32.095,19.94843043,0.004971176,56392.34236
767468,u,2013-05-026:53,582.13,1624474,42,32.103,20.41942405,0.008204441,56414.28681
767468,u,2013-05-028:24,582.104,1624489,43,32.113,20.5838939,0.008379733,56414.35
767468,u,2013-05-029:39,582.114,1624496,44,32.096,20.59717654,0.007658681,56414.40208
767468,u,2013-05-036:21,582.101,1624647,45,32.077,19.85185913,0.00486383,56415.26458
767468,u,2013-05-037:35,582.106,1624654,46,32.109,20.10275364,0.005782649,56415.31597
767468,u,2013-05-038:49,582.116,1624661,47,32.092,20.28436082,0.006695172,56415.36736
767468,u,2013-05-0310:03,582.122,1624668,48,32.034,20.47472206,0.007812382,56415.41875
49478,i,2010-01-1112:42,411.084,1159421,0,32.418,18.98607157,0.002919202,55207.52917
49478,i,2010-01-1114:42,411.117,1159436,2,32.424,19.03745118,0.002905381,55207.6125
49478,i,2010-01-2212:26,411.083,1162006,3,32.426,18.35726386,0.002215292,55218.51806
49478,i,2010-02-0612:13,411.082,1165584,4,32.422,18.88369502,0.003292256,55233.50903
49478,i,2010-02-0913:46,411.107,1166046,5,32.419,19.10080846,0.003141702,55236.57361
49478,g,2010-03-1310:03,634.138,1172654,6,33.516,18.16805387,0.001092995,55268.41875
49478,g,2010-03-1312:45,634.147,1172668,8,33.504,18.68341969,0.001464064,55268.53125
49478,g,2010-03-1513:40,634.144,1172841,10,33.49,19.3171005,0.002077368,55270.56944
49478,z,2011-04-018:30,550.104,1294444,15,31.672,18.98271908,0.005188237,55652.35417
49478,z,2011-04-028:17,550.097,1294585,16,31.679,27.36748163,8.357325718,55653.34514
49478,z,2011-04-0212:56,550.095,1294611,17,31.702,19.07280658,0.00821563,55653.53889
49478,z,2011-04-0310:52,550.138,1294748,18,31.717,18.90672362,0.007265738,55654.45278
49478,z,2011-04-047:34,550.107,1294850,19,31.68,18.38872093,0.003901921,55655.31528
49478,z,2011-04-058:44,550.105,1294952,20,31.683,19.07711923,0.006419119,55656.36389
49478,z,2011-04-2611:06,550.097,1300388,21,31.628,18.47537412,0.004835949,55677.4625
49478,z,2011-04-2911:44,550.095,1300687,22,31.653,18.80916414,0.005921618,55680.48889
49478,z,2011-05-279:20,550.129,1306297,23,31.668,18.95241912,0.008413542,55708.38889
49478,u,2013-04-097:50,582.118,1616676,32,32.075,20.0002781,0.005412162,56391.32639
49478,u,2013-04-107:31,582.084,1616882,33,32.074,19.44583415,0.004042475,56392.31319
49478,u,2013-05-026:21,582.095,1624471,34,32.093,19.85344186,0.00558523,56414.26458
49478,u,2013-05-0210:10,582.08,1624499,35,32.057,19.3811827,0.004095736,56414.42361
49478,u,2013-05-038:07,582.103,1624657,36,32.106,20.07049139,0.0059899,56415.33819
49478,u,2013-05-0310:35,582.096,1624671,37,32.018,18.68121559,0.003055014,56415.44097
49478,u,2013-05-046:31,582.096,1624840,38,32.1,19.96360617,0.005171232,56416.27153
49478,u,2013-05-048:28,582.143,1624851,39,32.122,20.08295161,0.00571671,56416.35278
239734,g,2011-02-0315:07,634.156,1277528,0,33.445,19.0276618,0.001792052,55595.62986
239734,g,2011-02-0411:41,634.137,1277700,1,33.425,19.02977908,0.001825965,55596.48681
239734,g,2011-02-0413:08,634.138,1277707,2,33.445,19.09945664,0.001764821,55596.54722
239734,g,2011-02-0510:57,634.1,1277972,4,33.388,19.24028814,0.001974299,55597.45625
239734,z,2012-02-1615:04,550.146,1525821,6,31.809,18.88898218,0.004252544,55973.62778
239734,z,2012-02-2411:33,550.101,1528992,7,31.762,18.80520801,0.004490977,55981.48125
239734,z,2012-03-1612:15,550.146,1533588,10,31.807,18.81786202,0.004730527,56002.51042
239734,z,2012-03-1613:17,550.134,1533594,11,31.787,18.80381493,0.005054766,56002.55347
239734,i,2012-03-2012:03,411.115,1534075,14,32.456,18.8187797,0.002637713,56006.50208
239734,i,2012-03-2012:58,411.108,1534082,15,32.444,18.83436486,0.002956668,56006.54028
239734,i,2012-03-299:06,411.103,1534768,16,32.429,18.78619553,0.002649348,56015.37917
239734,i,2012-03-2910:01,411.141,1534775,17,32.438,18.74965594,0.0027017,56015.41736
239734,u,2013-03-0711:38,582.118,1611922,30,32.124,19.97983581,0.005239339,56358.48472
239734,u,2013-03-089:56,582.097,1612045,31,32.078,19.68968921,0.004646177,56359.41389
239734,u,2013-03-0811:11,582.135,1612052,32,32.117,19.76592676,0.004675489,56359.46597
239734,u,2013-03-0910:44,582.128,1612243,34,32.11,20.00777496,0.005593895,56360.44722
239734,u,2013-03-0911:58,582.147,1612250,35,32.118,20.02677839,0.005747316,56360.49861
239734,u,2013-04-039:31,582.138,1615799,37,32.069,19.96970425,0.00517478,56385.39653
239734,u,2013-04-048:46,582.122,1615899,38,32.097,20.06924326,0.005854304,56386.36528
239734,u,2013-04-088:41,582.133,1616491,40,32.093,19.78061795,0.004897919,56390.36181
760094,g,2011-02-0314:21,634.203,1277524,0,33.462,18.58089579,0.001360677,55595.59792
760094,g,2011-02-0410:55,634.153,1277696,1,33.424,19.39092825,0.002162386,55596.45486
760094,g,2011-02-0412:04,634.151,1277702,2,33.461,19.40888389,0.002162699,55596.50278
760094,g,2011-02-0413:40,634.192,1277710,3,33.472,19.40237313,0.00210264,55596.56944
760094,g,2011-02-0511:20,634.101,1277974,4,33.44,19.12979181,0.0018984,55597.47222
760094,u,2012-01-2412:31,582.169,1521353,5,32.231,20.22470864,0.005580661,55950.52153
760094,u,2012-01-2413:45,582.18,1521360,6,32.275,18.96926811,0.002862951,55950.57292
760094,u,2012-01-2415:00,582.17,1521367,7,32.269,18.99479642,0.002909561,55950.625
760094,u,2012-01-2610:54,582.149,1521800,8,32.116,19.53729375,0.004053371,55952.45417
760094,u,2012-01-2612:09,582.16,1521807,9,32.228,19.75566108,0.004207897,55952.50625
760094,u,2012-01-2613:23,582.163,1521814,10,32.258,19.93576729,0.0045952,55952.55764
760094,u,2012-01-2614:37,582.169,1521821,11,32.26,20.07801343,0.005516095,55952.60903
760094,u,2012-01-2811:28,582.129,1522178,12,32.192,20.12413011,0.005407628,55954.47778
760094,u,2012-01-2812:46,582.165,1522185,13,32.244,20.20359119,0.005327086,55954.53194
760094,u,2012-01-2814:01,582.177,1522192,14,32.261,20.04348676,0.004968808,55954.58403
760094,u,2012-01-2815:16,582.176,1522199,15,32.25,18.80207867,0.002662143,55954.63611
760094,u,2012-01-2913:14,582.166,1522392,16,32.245,20.11000441,0.005000453,55955.55139
760094,u,2012-01-2914:30,582.166,1522399,17,32.24,20.11298416,0.005190173,55955.60417
760094,z,2012-02-1614:24,550.17,1525817,18,31.805,19.18017046,0.004678345,55973.6
760094,z,2012-02-2410:53,550.089,1528988,19,31.762,18.98140006,0.005281062,55981.45347
